Источник	Категория факта	Факт о бисопрололе (значение / дословная формулировка)	Атрибуция (раздел / таблица / страница)	Тип источника значения	Пометка
Molero, PLoS Med 2023	Доза	Доза бисопролола нигде не указана	—	—	НЕ НАЙДЕНО В ФАЙЛЕ
Chang, Drug Metab Pharmacokinet 2013	Экспозиция	Бисопролол включён в перечень изучаемых экспозиций (12 β-блокаторов)	Methods, «Definition and classification of exposure», стр. 2 PDF	осн. текст	
Chang, Drug Metab Pharmacokinet 2013	Селективность	Отнесён к СЕЛЕКТИВНЫМ β1-блокаторам	Methods, стр. 2 PDF; Table 2, сноска c, стр. 4 PDF	осн. текст	Ссылка 29 — Frishman, Am J Ther 2008
Chang, Drug Metab Pharmacokinet 2013	Липофильность	Отнесён к β-блокаторам с ВЫСОКОЙ ЛИПОФИЛЬНОСТЬЮ	Methods, стр. 2 PDF; Table 2, сноска d, стр. 4 PDF	осн. текст	Ссылки 30 (Woods & Robinson 1981) и 31 (López-Sendón 2004)
Chang, Drug Metab Pharmacokinet 2013	Число событий, 30 дней	24 (3,1%)	Table 2, стр. 4 PDF	таблица (визуально подтверждено)	
Chang, Drug Metab Pharmacokinet 2013	Инсомния 30 дней, нескорректированное ОШ	0.32 [0.20–0.51]*** vs пропранолол	Table 2, стр. 4 PDF	таблица (визуально подтверждено)	
Chang, Drug Metab Pharmacokinet 2013	Инсомния 30 дней, скорректированное ОШ	0.31 [0.19–0.50]*** vs пропранолол	Table 2, стр. 4 PDF; продублировано в Results, стр. 3 PDF и в абстракте, стр. 1 PDF	таблица + осн. текст + абстракт	Самый низкий риск инсомнии среди всех изученных ББ
Chang, Drug Metab Pharmacokinet 2013	Число событий, 90 дней	50 (6,4%)	Table 2, стр. 4 PDF	таблица	
Chang, Drug Metab Pharmacokinet 2013	Инсомния 90 дней, нескорректированное ОШ	0.53 [0.37–0.76]***	Table 2, стр. 4 PDF	таблица	
Chang, Drug Metab Pharmacokinet 2013	Инсомния 90 дней, скорректированное ОШ	0.50 [0.35–0.72]***	Table 2, стр. 4 PDF	таблица	
Chang, Drug Metab Pharmacokinet 2013	Формулировка авторов	«bisoprolol had the lowest risk of insomnia» (среди изученных ББ, референс — пропранолол)	Results, стр. 3 PDF; Discussion, стр. 4 PDF	осн. текст	
Chang, Drug Metab Pharmacokinet 2013	Формулировка авторов	«atenolol or bisoprolol might be a better choice than propranolol or labetalol» при необходимости ББ у пожилого пациента с АГ	Discussion, стр. 5 PDF	осн. текст	
Chang, Drug Metab Pharmacokinet 2013	Формулировка авторов	Бисопролол — «newer β-blocker with high lipophilicity and higher selectivity», не показавший более высокого риска инсомнии, чем более старые ББ	Discussion, стр. 4 PDF	осн. текст	Прямое указание авторов на расхождение риска с их же классификацией липофильности
Chang, Drug Metab Pharmacokinet 2013	Размер группы	n группы бисопролола	Table 2 содержит только число событий и %	—	НЕ НАЙДЕНО В ФАЙЛЕ
Chang, Drug Metab Pharmacokinet 2013	Доза	Дозы бисопролола	—	—	НЕ НАЙДЕНО В ФАЙЛЕ
Stoschitzky, Cardiology 2006	Доза и режим	10 мг однократно в 1-й день, далее 5 мг 1 раз в сутки 7 дней	Abstract стр. 1; Methods стр. 2	осн. текст	
Stoschitzky, Cardiology 2006	Обоснование дозы	Первая доза соответствовала рекомендованной в CIBIS II; последующие — 50% от неё, т. к. исследование у здоровых добровольцев	Methods, стр. 2	осн. текст	
Stoschitzky, Cardiology 2006	Фармакологическая характеристика	«a second generation beta1-selective beta-blocker without additional effects [7, 8]»	Introduction, стр. 2	осн. текст	
Stoschitzky, Cardiology 2006	ЧСС в покое, 3 ч	52 ± 8 (−21%), p<0.05 vs baseline	Table 1, стр. 3	таблица (визуально подтверждено)	Внутригрупповое сравнение
Stoschitzky, Cardiology 2006	ЧСС при нагрузке, 3 ч	123 ± 10 (−24%), p<0.05 vs baseline; эффект больше, чем у небиволола (p<0.05, МЕЖГРУППОВОЕ)	Table 1, стр. 3; Results, стр. 4	таблица + осн. текст	
Stoschitzky, Cardiology 2006	Trough-to-peak ratio	76% после первой дозы; 58% после 7 дней — значимо ниже, чем у карведилола (85%) и небиволола (91%), p<0.05	Results, стр. 4; Fig 1, стр. 4	осн. текст	
Stoschitzky, Cardiology 2006	Ночная секреция мелатонина	aMT6s 14.9 ± 20.0 mg (1-я ночь) и 16.8 ± 13.4 mg (7-я ночь) → −44% и −36% vs плацебо (26.9 ± 21.4 и 26.3 ± 22.4 mg), p<0.05 в обоих случаях	Results, стр. 4–5; подпись Fig 2, стр. 4	осн. текст	Межгрупповое сравнение vs плацебо. SD превышает среднее в 1-ю ночь. Единица «mg» — как напечатано
Stoschitzky, Cardiology 2006	Ночная секреция мелатонина	Единственный из трёх препаратов, снизивший ночную секрецию мелатонина; авторы: «a feature which might cause sleep disturbances»	Abstract стр. 1; Results стр. 4–5; Discussion стр. 6	осн. текст	Карведилол −16%/−8% и небиволол −19%/−13% — n.s.
Stoschitzky, Cardiology 2006	Качество жизни	Total QOL 8.4 ± 0.5 — не отличался от плацебо (8.6 ± 0.4); «bisoprolol and nebivolol did not alter QOL»	Table 2, стр. 5; Abstract стр. 1; Discussion стр. 6	таблица + осн. текст	
Stoschitzky, Cardiology 2006	Качество сна (пункт анкеты)	День 1 — 8.3 ± 2.3 (p=0.603); день 7 — 8.7 ± 1.4 (p=0.049); «quality of sleep with bisoprolol was not worse than with the other drugs»	Table 2, стр. 5; Discussion, стр. 6	таблица + осн. текст	Сон валидированной шкалой или ПСГ НЕ измерялся — только пункт самодельного опросника
Stoschitzky, Cardiology 2006	Новизна	«the influence of nebivolol and bisoprolol on nocturnal melatonin release never was investigated»	Introduction, стр. 2	осн. текст	
Lancaster & Sorkin, Drugs 1988	Класс и профиль активности	«β:1- adrenoceptor antagonist with no partial agonist (intrinsic sympathomimetic) activity or membrane stabilising (local anaesthetic) activity»	Summary / Synopsis	абстракт	Файл SYNOPSIS-ONLY
Lancaster & Sorkin, Drugs 1988	Потенция β1-блокады (животные)	Более потентен, чем атенолол и метопролол; менее потентен, чем пропранолол и бетаксолол	Pharmacodynamic Studies	абстракт	Данные на животных, вид не указан
Lancaster & Sorkin, Drugs 1988	Липофильность	«possessing both lipophilic and hydrophilic properties»	Pharmacokinetic Studies	абстракт	Первичная ссылка НЕ названа
Lancaster & Sorkin, Drugs 1988	Проникновение через ГЭБ	«Animal studies indicate that bisoprolol is rapidly and widely distributed, but little placental transfer occurs and the drug only penetrates the blood-brain barrier to a small degree in comparison to metoprolol and propranolol»	Pharmacokinetic Studies	абстракт	ЖИВОТНЫЕ, вид не указан; первичная ссылка НЕ названа
Lancaster & Sorkin, Drugs 1988	Фармакокинетика	Биодоступность ⩾90% (в Synopsis — «high (90%)»); Tmax в пределах 3 ч после 10 мг; Cmax 36–78 μg/L; связывание с белками ~30%; ~50% метаболизируется печенью до 3 неактивных метаболитов, остальное выводится почками неизменённым; first-pass ⩽10%	Pharmacokinetic Studies / Synopsis	абстракт	
Lancaster & Sorkin, Drugs 1988	T1/2	Здоровые 9–12 ч; почечная недостаточность ~18 ч; цирроз печени ~13 ч	Pharmacokinetic Studies	абстракт	
Lancaster & Sorkin, Drugs 1988	ЦНС-нежелательные явления	Наиболее частые НЯ — «‘Giddiness’, headache and tiredness»; отмена из-за НЯ ~2,7%. ЧАСТОТЫ ОТДЕЛЬНЫХ ЦНС-НЯ не приведены. Слова depression, insomnia, sleep, dream, nightmare, hallucination в файле НЕ ВСТРЕЧАЮТСЯ НИ РАЗУ	Side Effects; сплошной поиск по файлу	абстракт	Ключевой отрицательный результат корпуса
Boyce, JACLP 2021	Вторичное цитирование	«propranolol, atenolol, bisoprolol, and carvedilol were associated with a decreased rate of diagnosis of depression relative to the comparison group of those only on diuretics for hypertension» — пересказ Kessing 2020	MOOD DISORDERS → Depression, стр. 4 PDF (журн. 407), ссылка 31	осн. текст	Компаратор описан обзором иначе, чем в первоисточнике
Boyce, JACLP 2021	Вторичное цитирование	«a recent population-based study of patients on antihypertensive medications which included over 700,000 subjects who had received BB therapy»	там же, стр. 4 PDF	осн. текст	
Boyce, JACLP 2021	Отсутствие чисел	«The hazard ratios reported for these BBs were similar in magnitude, but no formal analysis was conducted to differentiate the effects based on BB characteristics» — сами HR не приведены	там же, стр. 4 PDF	осн. текст	НЕ НАЙДЕНО В ФАЙЛЕ (числовые значения)
Boyce, JACLP 2021	Липофильность	Бисопролол ОТСУТСТВУЕТ в Table 1 «Characteristics of β-Blockers Discussed in This Review» (в таблице 10 препаратов: атенолол, бетаксолол, карведилол, лабеталол, метопролол, надолол, окспренолол, пиндолол, пропранолол, тимолол)	Table 1, стр. 2 PDF (журн. 405)	таблица	Категория для бисопролола не присвоена
Boyce, JACLP 2021	Прочие разделы	Бисопролол не упоминается ни в одном другом разделе (тревожные расстройства, мания, ОСР/ПТСР, психоз, ЭПС/акатизия, агрессия/ажитация, НЯ и противопоказания, взаимодействия — в перечне субстратов CYP2D6 названы пропранолол, карведилол, небиволол, тимолол, метопролол)	сплошной поиск по файлу; DRUG-DRUG INTERACTIONS — стр. 6 PDF	осн. текст	
van de Ven, J Psychosom Res 1995	Доза и режим	Бисопролол 5 мг 1 раз в сутки, 3 недели в каждом активном периоде	Methods, «Procedures», стр. 3 / 1009; Abstract, стр. 1 / 1007	осн. текст	
van de Ven, J Psychosom Res 1995	Липофильность и ГЭБ	«Bisoprolol is a beta-1-selective blocker, with a moderate lipophilic property, which enables it to pass the blood–brain barrier [17].»	Introduction, стр. 2 / 1008	осн. текст	Ссылка 17 = Wellstein A et al., Eur Heart J 1987;8(suppl M):3–8
van de Ven, J Psychosom Res 1995	Липофильность и ГЭБ	«Bisoprolol is a moderate lipophylic substance that passes the blood–brain barrier and has central effects like those of propranolol [20].» (опечатка «lipophylic» — авторская)	Discussion, стр. 6 / 1012	осн. текст	Ссылка 20 по содержанию НЕ соответствует утверждению (Dorow P et al. о ХОБЛ) — см. gaps.md
van de Ven, J Psychosom Res 1995	Фармакокинетика	«The elimination half-life is 12 hours, which allows for a once-a-day dosage.»	Introduction, стр. 2 / 1008	осн. текст	
van de Ven, J Psychosom Res 1995	Бронхиальная безопасность	«Bisoprolol has been shown to lack bronchoconstrictive effects in volunteers and asthmatic patients [18, 19].»	Introduction, стр. 2 / 1008; повтор в Discussion, стр. 6 / 1012	осн. текст	Ссылка 18 по содержанию не соответствует (Suzman MM о пропранололе при тревоге)
van de Ven, J Psychosom Res 1995	Эффективность: приступы	1.26 ± 1.25 приступа/нед vs baseline 4.04 ± 1.25 (p<0.001) и vs плацебо 3.51 ± 2.11 (p<0.0001)	Results, стр. 4 / 1010	осн. текст	Единственное в корпусе интервенционное РКИ бисопролола при психосоматическом состоянии
van de Ven, J Psychosom Res 1995	Эффективность: тяжесть симптомов	Балл Nijmegen 15 ± 3.4 (с 31 ± 4.1; p<0.01); улучшение значимо больше, чем на плацебо (p<0.05)	Results, стр. 4 / 1010	осн. текст	
van de Ven, J Psychosom Res 1995	Респондеры	48 (94%) из 51 vs 16 (32%) на плацебо; по периодам 25 (49%) и 23 (45%)	Table V, стр. 5 / 1011; Results, стр. 4 / 1010	таблица (визуально подтверждено)	В Table V сноска *p<0.001, в тексте p<0.05 — расхождение источника
van de Ven, J Psychosom Res 1995	ЧСС	72 уд/мин vs baseline 79 и плацебо 77	Table VI, стр. 5 / 1011; Results, стр. 5 / 1011	таблица	В сноске Table VI *p<0.05, в тексте p<0.001 — расхождение источника
van de Ven, J Psychosom Res 1995	АД	«There was no influence of either treatment on blood pressure»; САД 125 и ДАД 80 vs baseline 126/79	Results, стр. 5 / 1011; Table VI, стр. 5 / 1011	осн. текст + таблица	
van de Ven, J Psychosom Res 1995	Безопасность	«There were no adverse events reported other than those complaints mentioned in the questionnaire»; «No serious side effects were reported»	Results, стр. 5 / 1011; Abstract, стр. 1 / 1007	осн. текст	Перечень и частоты отдельных НЯ, в т. ч. ЦНС и сон-ассоциированных, НЕ НАЙДЕНО В ФАЙЛЕ
van de Ven, J Psychosom Res 1995	Наблюдение авторов	Бисопролол в 9 дневниках сопровождался «arousal of attacks that did not develop into full attacks» (против 3 таких дневников на плацебо)	Results, стр. 4 / 1010	осн. текст	
van de Ven, J Psychosom Res 1995	Вывод авторов	«Five milligrams of bisoprolol once daily is effective and safe in the maintenance of symptom reduction in patients with the hyperventilation syndrome.»	Abstract, стр. 1 / 1007; Discussion, стр. 6 / 1012	абстракт + осн. текст	
